P/S, n, m, Smax, Emax, p2, p2, q4,q3, q2, q1, q0, SS rmse, PR rmse
0,5,0,81.89658422,0.149489536,-3039.817351,1014.130418,0.111071041,-0.189437777,0.095114316,-0.05374556,0.028823161,0.367767287,0.000461933
0,5,1,91.32830007,0.161218715,-2697.827403,1002.241695,-0.077740532,0.218878898,-0.196950092,0.020915042,0.053448929,0.441401961,8.25E-05
0,5,2,93.07992023,0.168808183,-2519.867478,975.2900722,-0.00535495,0.123398425,-0.181862371,0.030899568,0.097534109,0.451910559,0.00036011
0,5,3,97.42508971,0.187206896,-2178.996485,935.0301326,-0.037108608,0.16608808,-0.217711173,0.023290781,0.147500259,0.471621172,0.00010257
0,5,4,104.4823544,0.200775946,-1985.693062,914.1703072,-0.023079512,0.168707425,-0.26082216,0.032829743,0.173998078,0.559132425,0.000174716
0,5,5,105.1478783,0.213195076,-1948.091747,904.4644678,-0.070510934,0.29149184,-0.358849877,0.038308092,0.187212091,0.540052142,0.000183694
0,6,0,85.32273563,0.145119842,-3115.18017,1045.855626,-0.033122917,0.141938055,-0.159465405,0.005639511,0.040615949,0.273199983,9.13E-05
0,6,1,90.96547747,0.150179487,-2863.639713,1032.586918,-0.129297012,0.282093339,-0.218381418,0.008340105,0.065124498,0.27763091,0.000370632
0,6,2,92.03636901,0.157768956,-2664.735432,1002.819772,-0.067877423,0.218811467,-0.218833039,0.013944751,0.103354568,0.298969862,6.20E-05
0,6,3,95.77643728,0.170878039,-2377.737884,964.4531135,-0.016017653,0.140676558,-0.215789225,0.027935909,0.13939703,0.378240681,0.000175118
0,6,4,99.11358146,0.177777556,-2127.465961,932.6341276,-0.047024917,0.203121441,-0.257602415,0.026074264,0.170233116,0.351923802,0.000140535
0,6,5,105.377903,0.199396042,-1969.251793,914.9714151,-0.062204256,0.247964649,-0.31179238,0.031286173,0.184602212,0.41819971,0.0001332
0,6,6,105.5177572,0.206525543,-1955.723637,907.4902923,-0.112887516,0.386516002,-0.426265335,0.04460777,0.197635277,0.427599035,0.000200033
0,7,0,87.83238024,0.145579809,-3174.381006,1066.645838,-0.146016103,0.373534544,-0.30261003,0.021543769,0.052141924,0.241879637,0.000128275
0,7,1,90.69606835,0.152019359,-2948.456967,1052.307428,-0.169766872,0.440640242,-0.357656467,0.030842558,0.068945569,0.250149331,0.000141087
0,7,2,91.52711187,0.154549182,-2735.813353,1021.686905,-0.083014409,0.268944573,-0.269643289,0.027448944,0.097065077,0.239823951,0.000132746
0,7,3,95.30107759,0.164898457,-2510.973933,986.906382,-0.098275215,0.311278849,-0.313071221,0.03244301,0.133786588,0.2674961,0.000129787
0,7,4,98.86765994,0.177777556,-2244.10543,951.8315085,-0.064081981,0.241842448,-0.281184894,0.031939389,0.154990779,0.263930769,0.000185798
0,7,5,103.1647913,0.188356815,-2059.211776,926.5304085,-0.10841587,0.36014598,-0.399667087,0.062382911,0.178275243,0.308173643,0.000380775
0,7,6,106.1920389,0.198246123,-1950.344876,911.3348439,-0.115849532,0.38761739,-0.422905061,0.053673733,0.190799513,0.343709157,0.000266611
0,7,7,107.0269287,0.209745318,-1930.176634,908.1251805,-0.132665128,0.422752712,-0.446326911,0.046170917,0.198770835,0.332983402,0.000230713
0,8,0,86.82634983,0.144659874,-3181.229154,1074.706919,-0.208261076,0.531832099,-0.427430305,0.042998338,0.062053437,0.223559889,0.00024039
0,8,1,91.45818538,0.149949504,-2942.499221,1057.2532,-0.135874167,0.375450179,-0.325062011,0.023345624,0.075412908,0.241005902,9.51E-05
0,8,2,90.75974046,0.148339616,-2818.726421,1033.411485,-0.155238192,0.421185744,-0.364393855,0.031932757,0.102810536,0.218344385,0.000157067
0,8,3,94.94939198,0.16328857,-2576.458834,1001.515842,-0.044510641,0.236532892,-0.286633515,0.031841013,0.122822208,0.215904987,0.000252351
0,8,4,96.47030092,0.165358425,-2382.209129,964.6230479,-0.102034541,0.313511181,-0.315240814,0.029946389,0.151446673,0.2213551,0.000101028
0,8,5,100.4013677,0.179157459,-2164.487927,942.7209057,-0.041074747,0.206844843,-0.278370059,0.031789644,0.171445967,0.226856458,0.000209906
0,8,6,104.1674809,0.192036557,-2023.053042,924.9238739,-0.063442616,0.265113674,-0.330586421,0.037177743,0.185429917,0.283655288,0.000172202
0,8,7,106.8792583,0.201465897,-1933.920676,914.6626182,-0.087110192,0.330185831,-0.389546886,0.044319032,0.19597878,0.292177478,0.000203924
0,8,8,107.286072,0.206295559,-1929.916359,901.1613117,-0.150560595,0.467619572,-0.485714983,0.056939257,0.198759494,0.287965831,0.000308488
0,9,0,89.08565467,0.143969922,-3173.897107,1079.37017,-0.215970296,0.54694506,-0.431142505,0.029409795,0.073838362,0.195426029,0.000217431
0,9,1,92.05369788,0.146729729,-2952.735241,1060.24209,-0.164004319,0.439365067,-0.369318406,0.028619202,0.076898155,0.256235023,9.65E-05
0,9,2,92.47389531,0.149489536,-2864.726256,1045.25319,-0.125836833,0.366862962,-0.343819657,0.026564197,0.105058386,0.204655135,0.000691104
0,9,3,92.72639926,0.152939294,-2698.876919,1013.896285,-0.131983234,0.386803882,-0.358435366,0.034638975,0.121877554,0.200543737,0.000153473
0,9,4,96.01703838,0.166508344,-2466.107851,987.3793156,-0.16858869,0.467843943,-0.42294857,0.047918449,0.146804546,0.186343258,0.000252178
0,9,5,99.22814341,0.173407861,-2272.224246,959.9442962,-0.112644363,0.353761564,-0.360168233,0.036599422,0.168116646,0.19461981,0.000160361
0,9,6,102.5319212,0.18628696,-2110.611559,938.8146606,-0.108313458,0.354965878,-0.37925696,0.040085655,0.184038049,0.227273687,0.000169063
0,9,7,104.4644467,0.191116622,-2006.932385,924.4473964,-0.054564026,0.267000382,-0.35311877,0.043775605,0.193110925,0.250336793,0.000278438
0,9,8,106.6869524,0.199396042,-1935.827063,916.1763036,-0.073802998,0.309543586,-0.383780215,0.044985308,0.198324002,0.282555929,0.000224141
0,9,9,107.790784,0.211815173,-1927.573335,912.2668438,-0.162669685,0.500680523,-0.510528922,0.055672053,0.204519429,0.320687412,0.000256869
0,10,0,88.36060817,0.139370244,-3141.736196,1077.433103,-0.259358733,0.623759722,-0.462063899,0.014832916,0.088756029,0.252152933,0.000327492
